Company,Date,Adj Close,Close,High,Low,Open,Volume
MSFT,2000-01-03,35.93586730957031,58.28125,59.3125,56.0,58.6875,53228400
MSFT,2000-01-04,34.721946716308594,56.3125,58.5625,56.125,56.78125,54119000
MSFT,2000-01-05,35.08803939819336,56.90625,58.1875,54.6875,55.5625,64059600
MSFT,2000-01-06,33.91265869140625,55.0,56.9375,54.1875,56.09375,54976600
MSFT,2000-01-07,34.3558235168457,55.71875,56.125,53.65625,54.3125,62013600
MSFT,2000-01-10,34.60633087158203,56.125,56.84375,55.6875,56.71875,44963600
MSFT,2000-01-11,33.71997833251953,54.6875,57.125,54.34375,55.75,46743600
MSFT,2000-01-12,32.62166213989258,52.90625,54.4375,52.21875,54.25,66532400
MSFT,2000-01-13,33.23825454711914,53.90625,54.3125,50.75,52.1875,83144000
MSFT,2000-01-14,34.60633087158203,56.125,56.96875,52.875,53.59375,73416400
MSFT,2000-01-18,35.55048370361328,57.65625,58.25,55.875,55.90625,81483600
MSFT,2000-01-19,32.987762451171875,53.5,55.75,53.0,55.25,97568200
MSFT,2000-01-20,32.67947769165039,53.0,54.84375,52.9375,53.53125,56349800
MSFT,2000-01-21,31.985816955566406,51.875,53.625,51.625,53.5,68416200
MSFT,2000-01-24,31.215076446533203,50.625,52.84375,50.40625,51.8984375,63597600
MSFT,2000-01-25,31.696786880493164,51.40625,51.9375,49.78125,50.5,59823200
MSFT,2000-01-26,30.63700294494629,49.6875,51.75,49.5625,51.21875,49365000
MSFT,2000-01-27,30.44432640075684,49.375,50.59375,48.625,49.9453125,63654800
MSFT,2000-01-28,30.290172576904297,49.125,50.125,48.625,49.0625,58225400
MSFT,2000-01-31,30.17456817626953,48.9375,49.09375,47.4375,48.8125,73194200
MSFT,2000-02-01,31.735313415527344,51.46875,51.625,48.84375,49.25,70196600
MSFT,2000-02-02,31.080198287963867,50.40625,51.96875,50.25,51.21875,49915600
MSFT,2000-02-03,31.947263717651367,51.8125,52.09375,50.0625,51.03125,49186000
MSFT,2000-02-04,32.85289001464844,53.28125,54.0,52.0703125,52.1875,55365400
MSFT,2000-02-07,32.87217712402344,53.3125,53.4375,52.125,53.40625,40005800
MSFT,2000-02-08,33.893394470214844,54.96875,55.0,53.21875,53.21875,56229000
MSFT,2000-02-09,32.06288528442383,52.0,54.71875,51.9375,54.71875,55090000
MSFT,2000-02-10,32.67947769165039,53.0,53.28125,51.25,51.9453125,54527800
MSFT,2000-02-11,30.8104248046875,49.96875,52.4375,49.5625,52.4375,115559000
MSFT,2000-02-14,30.714075088500977,49.8125,50.875,49.53125,50.6171875,81028600
MSFT,2000-02-15,30.38652610778809,49.28125,50.0,49.0625,49.875,71027600
MSFT,2000-02-16,30.097488403320312,48.8125,50.09375,48.5625,49.625,65202600
MSFT,2000-02-17,30.714075088500977,49.8125,49.84375,48.5703125,49.25,80343400
MSFT,2000-02-18,29.30747413635254,47.53125,50.03125,47.4375,50.0,79063000
MSFT,2000-02-22,28.9221134185791,46.90625,48.5625,46.40625,47.5625,66296200
MSFT,2000-02-23,29.05698585510254,47.125,47.875,46.03125,46.75,75847200
MSFT,2000-02-24,29.21113967895508,47.375,47.9375,46.0,47.125,69733200
MSFT,2000-02-25,28.151369094848636,45.65625,47.3515625,45.25,47.34375,65301400
MSFT,2000-02-28,28.228445053100582,45.78125,46.0625,44.0625,45.125,76131800
MSFT,2000-02-29,27.554033279418945,44.6875,45.875,44.4375,45.875,58437400
MSFT,2000-03-01,27.997222900390625,45.40625,47.046875,44.46875,44.8125,106889800
MSFT,2000-03-02,28.7872314453125,46.6875,47.6875,45.5625,45.90625,106932600
MSFT,2000-03-03,29.63504981994629,48.0625,49.4375,46.9375,47.375,101435200
MSFT,2000-03-06,27.93941116333008,45.3125,48.6875,45.0625,48.0,93609400
MSFT,2000-03-07,28.633075714111328,46.4375,48.75,45.96875,48.0625,135061000
MSFT,2000-03-08,29.46161651611328,47.78125,48.09375,45.5,46.90625,94290000
MSFT,2000-03-09,30.82968521118164,50.0,50.0,47.5,47.65625,88198800
MSFT,2000-03-10,31.137989044189453,50.5,51.25,49.75,49.78125,85589000
MSFT,2000-03-13,30.21310043334961,49.0,50.125,48.75,48.8125,61831800
MSFT,2000-03-14,29.32674789428711,47.5625,49.625,47.5625,49.3125,73489200
MSFT,2000-03-15,29.403823852539062,47.6875,48.3125,46.84375,47.28125,53208000
MSFT,2000-03-16,29.403823852539062,47.6875,48.34375,46.625,47.96875,77300800
MSFT,2000-03-17,30.63700294494629,49.6875,49.75,47.25,47.625,81161600
MSFT,2000-03-20,30.020414352416992,48.6875,49.875,48.25,49.375,47773000
MSFT,2000-03-21,31.67751884460449,51.375,51.5625,48.25,48.375,81648800
MSFT,2000-03-22,31.83166885375977,51.625,52.8125,50.5625,51.40625,93975800
MSFT,2000-03-23,34.49071502685547,55.9375,56.4375,53.3125,53.40625,148224000
MSFT,2000-03-24,34.43290710449219,55.84375,57.5,54.78125,56.3125,112196800
MSFT,2000-03-27,32.0821533203125,52.03125,54.125,51.96875,53.8828125,111434000
MSFT,2000-03-28,32.15922546386719,52.15625,53.71875,51.1875,51.8125,81114400
MSFT,2000-03-29,33.04558563232422,53.59375,54.46875,52.5625,52.59375,64363800
MSFT,2000-03-30,31.870193481445312,51.6875,54.3125,51.25,53.09375,64178400
MSFT,2000-03-31,32.756553649902344,53.125,54.125,52.0625,53.0,64281400
MSFT,2000-04-03,28.01648712158203,45.4375,48.25,45.0,47.21875,260118200
MSFT,2000-04-04,27.303543090820312,44.28125,46.0,42.46875,45.78125,181244400
MSFT,2000-04-05,26.62914657592773,43.1875,44.25,42.9375,44.125,82887600
MSFT,2000-04-06,26.513538360595703,43.0,44.0,42.6328125,43.9375,66421400
MSFT,2000-04-07,27.457687377929688,44.53125,44.6875,42.5,43.5,82613600
MSFT,2000-04-10,26.53281021118164,43.03125,44.3125,43.0,44.3125,60685400
MSFT,2000-04-11,25.85841178894043,41.9375,43.03125,41.75,42.5625,71961800
MSFT,2000-04-12,24.47106170654297,39.6875,41.125,39.375,41.0625,153003800
MSFT,2000-04-13,24.43253517150879,39.625,41.125,39.5,40.4375,94316200
MSFT,2000-04-14,22.852514266967773,37.0625,39.75,36.625,39.5625,151217800
MSFT,2000-04-17,23.39203453063965,37.9375,38.0,36.5,37.125,119772200
MSFT,2000-04-18,24.83717918395996,40.28125,40.96875,37.9375,38.25,91794600
MSFT,2000-04-19,24.25911903381348,39.34375,40.75,39.0625,40.71875,53715400
MSFT,2000-04-20,24.336181640625,39.46875,39.9375,38.75,39.3125,52387400
MSFT,2000-04-24,20.540285110473636,33.3125,34.0,32.5,33.625,313645800
MSFT,2000-04-25,21.38810157775879,34.6875,34.75,33.8125,34.375,159517400
MSFT,2000-04-26,20.964187622070312,34.0,35.5625,33.6875,35.0,107091200
MSFT,2000-04-27,21.52298164367676,34.90625,34.96875,33.6875,33.71875,77669800
MSFT,2000-04-28,21.50371742248535,34.875,35.5,34.125,35.375,78082600
